technology,parameter,value,unit,source,further description
Pumped-Storage-Hydro-store,lifetime,60.0,years,Linear interpolation between 2030 and 2040,
SMR,FOM,5.0,%/year,Linear interpolation between 2030 and 2040,
SMR,efficiency,0.76,per unit (in LHV),Linear interpolation between 2030 and 2040,
SMR,investment,493470.3997,EUR/MW_CH4,Linear interpolation between 2030 and 2040,
SMR,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
SMR CC,FOM,5.0,%/year,Linear interpolation between 2030 and 2040,
SMR CC,capture_rate,0.9,EUR/MW_CH4,Linear interpolation between 2030 and 2040,
SMR CC,efficiency,0.69,per unit (in LHV),Linear interpolation between 2030 and 2040,
SMR CC,investment,572425.6636,EUR/MW_CH4,Linear interpolation between 2030 and 2040,
SMR CC,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
Sand-charger,FOM,1.075,%/year,Linear interpolation between 2030 and 2040,
Sand-charger,efficiency,0.99,per unit,Linear interpolation between 2030 and 2040,
Sand-charger,investment,130599.3799,EUR/MW,Linear interpolation between 2030 and 2040,
Sand-charger,lifetime,35.0,years,Linear interpolation between 2030 and 2040,
Sand-discharger,FOM,0.2688,%/year,Linear interpolation between 2030 and 2040,
Sand-discharger,efficiency,0.53,per unit,Linear interpolation between 2030 and 2040,
Sand-discharger,investment,522397.5196,EUR/MW,Linear interpolation between 2030 and 2040,
Sand-discharger,lifetime,35.0,years,Linear interpolation between 2030 and 2040,
Sand-store,FOM,0.3308,%/year,Linear interpolation between 2030 and 2040,
Sand-store,investment,6069.1678,EUR/MWh,Linear interpolation between 2030 and 2040,
Sand-store,lifetime,35.0,years,Linear interpolation between 2030 and 2040,
Steam methane reforming,FOM,3.0,%/year,Linear interpolation between 2030 and 2040,
Steam methane reforming,investment,470085.4701,EUR/MW_H2,Linear interpolation between 2030 and 2040,
Steam methane reforming,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
Steam methane reforming,methane-input,1.483,MWh_CH4/MWh_H2,Linear interpolation between 2030 and 2040,
Vanadium-Redox-Flow-bicharger,FOM,2.4395,%/year,Linear interpolation between 2030 and 2040,
Vanadium-Redox-Flow-bicharger,efficiency,0.8062,per unit,Linear interpolation between 2030 and 2040,
Vanadium-Redox-Flow-bicharger,investment,116860.1539,EUR/MW,Linear interpolation between 2030 and 2040,
Vanadium-Redox-Flow-bicharger,lifetime,12.0,years,Linear interpolation between 2030 and 2040,
Vanadium-Redox-Flow-store,FOM,0.2345,%/year,Linear interpolation between 2030 and 2040,
Vanadium-Redox-Flow-store,investment,233744.5392,EUR/MWh,Linear interpolation between 2030 and 2040,
Vanadium-Redox-Flow-store,lifetime,12.0,years,Linear interpolation between 2030 and 2040,
Zn-Air-bicharger,FOM,2.4395,%/year,Linear interpolation between 2030 and 2040,
Zn-Air-bicharger,efficiency,0.7937,per unit,Linear interpolation between 2030 and 2040,
Zn-Air-bicharger,investment,116860.1539,EUR/MW,Linear interpolation between 2030 and 2040,
Zn-Air-bicharger,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
Zn-Air-store,FOM,0.1654,%/year,Linear interpolation between 2030 and 2040,
Zn-Air-store,investment,157948.5975,EUR/MWh,Linear interpolation between 2030 and 2040,
Zn-Air-store,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
Zn-Br-Flow-bicharger,FOM,2.1198,%/year,Linear interpolation between 2030 and 2040,
Zn-Br-Flow-bicharger,efficiency,0.8307,per unit,Linear interpolation between 2030 and 2040,
Zn-Br-Flow-bicharger,investment,73865.5037,EUR/MW,Linear interpolation between 2030 and 2040,
Zn-Br-Flow-bicharger,lifetime,10.0,years,Linear interpolation between 2030 and 2040,
Zn-Br-Flow-store,FOM,0.2576,%/year,Linear interpolation between 2030 and 2040,
Zn-Br-Flow-store,investment,373438.7859,EUR/MWh,Linear interpolation between 2030 and 2040,
Zn-Br-Flow-store,lifetime,10.0,years,Linear interpolation between 2030 and 2040,
Zn-Br-Nonflow-bicharger,FOM,2.4395,%/year,Linear interpolation between 2030 and 2040,
Zn-Br-Nonflow-bicharger,efficiency,0.8888,per unit,Linear interpolation between 2030 and 2040,
Zn-Br-Nonflow-bicharger,investment,116860.1539,EUR/MW,Linear interpolation between 2030 and 2040,
Zn-Br-Nonflow-bicharger,lifetime,15.0,years,Linear interpolation between 2030 and 2040,
Zn-Br-Nonflow-store,FOM,0.22440000000000002,%/year,Linear interpolation between 2030 and 2040,
Zn-Br-Nonflow-store,investment,216669.4518,EUR/MWh,Linear interpolation between 2030 and 2040,
Zn-Br-Nonflow-store,lifetime,15.0,years,Linear interpolation between 2030 and 2040,
air separation unit,FOM,3.0,%/year,Linear interpolation between 2030 and 2040,
air separation unit,electricity-input,0.25,MWh_el/t_N2,Linear interpolation between 2030 and 2040,
air separation unit,investment,662903.5995,EUR/t_N2/h,Linear interpolation between 2030 and 2040,
air separation unit,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
battery inverter,FOM,9.47867298681879,%/year,Linear interpolation between 2030 and 2040,
battery inverter,efficiency,0.9,per unit,Linear interpolation between 2030 and 2040,
battery inverter,investment,211000.0,EUR/MW,Linear interpolation between 2030 and 2040,
battery inverter,lifetime,15.0,years,Linear interpolation between 2030 and 2040,
battery storage,investment,159666.6667,EUR/MWh,Linear interpolation between 2030 and 2040,
battery storage,lifetime,15.0,years,Linear interpolation between 2030 and 2040,
biogas,CO2 stored,0.0868,tCO2/MWh_th,Linear interpolation between 2030 and 2040,
biogas,FOM,13.137253850308658,%/year,Linear interpolation between 2030 and 2040,
biogas,capture rate,0.9,per unit,Linear interpolation between 2030 and 2040,
biogas,efficiency,1.0,per unit,Linear interpolation between 2030 and 2040,
biogas,fuel,59.0,EUR/MWhth,Linear interpolation between 2030 and 2040,
biogas,investment,1501132.25,EUR/MW,Linear interpolation between 2030 and 2040,
biogas,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
biogas CC,CO2 stored,0.0868,tCO2/MWh_th,Linear interpolation between 2030 and 2040,
biogas CC,FOM,13.137253850308657,%/year,Linear interpolation between 2030 and 2040,
biogas CC,capture rate,0.9,per unit,Linear interpolation between 2030 and 2040,
biogas CC,efficiency,1.0,per unit,Linear interpolation between 2030 and 2040,
biogas CC,investment,1501.13225,EUR/kW,Linear interpolation between 2030 and 2040,
biogas CC,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
biogas plus hydrogen,FOM,4.0,%/year,Linear interpolation between 2030 and 2040,
biogas plus hydrogen,investment,680.4,EUR/kW_CH4,Linear interpolation between 2030 and 2040,
biogas plus hydrogen,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
biogas upgrading,FOM,2.496615612382234,%/year,Linear interpolation between 2030 and 2040,
biogas upgrading,VOM,3.3085,EUR/MWh input,Linear interpolation between 2030 and 2040,
biogas upgrading,investment,371500.0,EUR/MW input,Linear interpolation between 2030 and 2040,
biogas upgrading,lifetime,15.0,years,Linear interpolation between 2030 and 2040,
biomass,FOM,4.5269,%/year,Linear interpolation between 2030 and 2040,
biomass,efficiency,0.468,per unit,Linear interpolation between 2030 and 2040,
biomass,fuel,7.0,EUR/MWhth,Linear interpolation between 2030 and 2040,
biomass,investment,2209.0,EUR/kWel,Linear interpolation between 2030 and 2040,
biomass,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
biomass CHP,FOM,3.5716566189023675,%/year,Linear interpolation between 2030 and 2040,
biomass CHP,VOM,2.0998,EUR/MWh_e,Linear interpolation between 2030 and 2040,
biomass CHP,c_b,0.4564,40°C/80°C,Linear interpolation between 2030 and 2040,
biomass CHP,c_v,1.0,40°C/80°C,Linear interpolation between 2030 and 2040,
biomass CHP,efficiency,0.3003,per unit,Linear interpolation between 2030 and 2040,
biomass CHP,efficiency-heat,0.7083,per unit,Linear interpolation between 2030 and 2040,
biomass CHP,investment,3135.76955,EUR/kW_e,Linear interpolation between 2030 and 2040,
biomass CHP,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
biomass CHP capture,FOM,3.0,%/year,Linear interpolation between 2030 and 2040,
biomass CHP capture,capture_rate,0.925,per unit,Linear interpolation between 2030 and 2040,
biomass CHP capture,compression-electricity-input,0.08,MWh/tCO2,Linear interpolation between 2030 and 2040,
biomass CHP capture,compression-heat-output,0.135,MWh/tCO2,Linear interpolation between 2030 and 2040,
biomass CHP capture,electricity-input,0.024,MWh/tCO2,Linear interpolation between 2030 and 2040,
biomass CHP capture,heat-input,0.69,MWh/tCO2,Linear interpolation between 2030 and 2040,
biomass CHP capture,heat-output,0.69,MWh/tCO2,Linear interpolation between 2030 and 2040,
biomass CHP capture,investment,2550000.0,EUR/(tCO2/h),Linear interpolation between 2030 and 2040,
biomass CHP capture,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
biomass EOP,FOM,3.5716566189023675,%/year,Linear interpolation between 2030 and 2040,
biomass EOP,VOM,2.0998,EUR/MWh_e,Linear interpolation between 2030 and 2040,
biomass EOP,c_b,0.4564,40°C/80°C,Linear interpolation between 2030 and 2040,
biomass EOP,c_v,1.0,40°C/80°C,Linear interpolation between 2030 and 2040,
biomass EOP,efficiency,0.3003,per unit,Linear interpolation between 2030 and 2040,
biomass EOP,efficiency-heat,0.7083,per unit,Linear interpolation between 2030 and 2040,
biomass EOP,investment,3135.76955,EUR/kW_e,Linear interpolation between 2030 and 2040,
biomass EOP,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
biomass HOP,FOM,5.7396322470964405,%/year,Linear interpolation between 2030 and 2040,
biomass HOP,VOM,2.86745,EUR/MWh,Linear interpolation between 2030 and 2040,
biomass HOP,efficiency,0.78175,per unit,Linear interpolation between 2030 and 2040,
biomass HOP,investment,812.7692999999999,EUR/kW_th - heat output,Linear interpolation between 2030 and 2040,
biomass HOP,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
biomass boiler,FOM,7.4981238601767,%/year,Linear interpolation between 2030 and 2040,
biomass boiler,efficiency,0.865,per unit,Linear interpolation between 2030 and 2040,
biomass boiler,investment,633814.25,EUR/MW_th,Linear interpolation between 2030 and 2040,
biomass boiler,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
biomass boiler,pelletizing cost,9.0,EUR/MWh_pellets,Linear interpolation between 2030 and 2040,
biomass-to-methanol,C in fuel,0.41969999999999996,per unit,Linear interpolation between 2030 and 2040,
biomass-to-methanol,C stored,0.5803,per unit,Linear interpolation between 2030 and 2040,
biomass-to-methanol,CO2 stored,0.2128,tCO2/MWh_th,Linear interpolation between 2030 and 2040,
biomass-to-methanol,FOM,1.5331229845236984,%/year,Linear interpolation between 2030 and 2040,
biomass-to-methanol,VOM,13.6029,EUR/MWh_MeOH,Linear interpolation between 2030 and 2040,
biomass-to-methanol,capture rate,0.9,per unit,Linear interpolation between 2030 and 2040,
biomass-to-methanol,efficiency,0.62,per unit,Linear interpolation between 2030 and 2040,
biomass-to-methanol,efficiency-electricity,0.02,MWh_e/MWh_th,Linear interpolation between 2030 and 2040,
biomass-to-methanol,efficiency-heat,0.22,per unit,Linear interpolation between 2030 and 2040,
biomass-to-methanol,investment,2521.1708,EUR/kW_MeOH,Linear interpolation between 2030 and 2040,
biomass-to-methanol,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
cement capture,FOM,3.0,%/year,Linear interpolation between 2030 and 2040,
cement capture,capture_rate,0.925,per unit,Linear interpolation between 2030 and 2040,
cement capture,compression-electricity-input,0.08,MWh/tCO2,Linear interpolation between 2030 and 2040,
cement capture,compression-heat-output,0.135,MWh/tCO2,Linear interpolation between 2030 and 2040,
cement capture,electricity-input,0.020999999999999998,MWh/tCO2,Linear interpolation between 2030 and 2040,
cement capture,heat-input,0.69,MWh/tCO2,Linear interpolation between 2030 and 2040,
cement capture,heat-output,1.51,MWh/tCO2,Linear interpolation between 2030 and 2040,
cement capture,investment,2400000.0,EUR/(tCO2/h),Linear interpolation between 2030 and 2040,
cement capture,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
central air-sourced heat pump,FOM,0.23360000000000003,%/year,Linear interpolation between 2030 and 2040,
central air-sourced heat pump,VOM,2.3499999999999996,EUR/MWh_th,Linear interpolation between 2030 and 2040,
central air-sourced heat pump,efficiency,3.625,per unit,Linear interpolation between 2030 and 2040,
central air-sourced heat pump,investment,856246.7,EUR/MW_th,Linear interpolation between 2030 and 2040,
central air-sourced heat pump,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
central coal CHP,FOM,1.6316,%/year,Linear interpolation between 2030 and 2040,
central coal CHP,VOM,2.8104500000000003,EUR/MWh,Linear interpolation between 2030 and 2040,
central coal CHP,c_b,1.01,50oC/100oC,Linear interpolation between 2030 and 2040,
central coal CHP,c_v,0.15,50oC/100oC,Linear interpolation between 2030 and 2040,
central coal CHP,efficiency,0.5237499999999999,per unit,Linear interpolation between 2030 and 2040,
central coal CHP,investment,1841.32485,EUR/kW,Linear interpolation between 2030 and 2040,
central coal CHP,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
central gas CHP,FOM,3.3545363636363636,%/year,Linear interpolation between 2030 and 2040,
central gas CHP,VOM,4.15,EUR/MWh,Linear interpolation between 2030 and 2040,
central gas CHP,c_b,1.0,50oC/100oC,Linear interpolation between 2030 and 2040,
central gas CHP,c_v,0.17,per unit,Linear interpolation between 2030 and 2040,
central gas CHP,efficiency,0.415,per unit,Linear interpolation between 2030 and 2040,
central gas CHP,investment,550000.0,EUR/MW,Linear interpolation between 2030 and 2040,
central gas CHP,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
central gas CHP,p_nom_ratio,1.0,per unit,Linear interpolation between 2030 and 2040,
central gas CHP CC,FOM,3.3545363636363636,%/year,Linear interpolation between 2030 and 2040,
central gas CHP CC,VOM,4.15,EUR/MWh,Linear interpolation between 2030 and 2040,
central gas CHP CC,c_b,1.0,50oC/100oC,Linear interpolation between 2030 and 2040,
central gas CHP CC,efficiency,0.415,per unit,Linear interpolation between 2030 and 2040,
central gas CHP CC,investment,550.0,EUR/kW,Linear interpolation between 2030 and 2040,
central gas CHP CC,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
central gas boiler,FOM,3.7,%/year,Linear interpolation between 2030 and 2040,
central gas boiler,VOM,1.0,EUR/MWh_th,Linear interpolation between 2030 and 2040,
central gas boiler,efficiency,1.04,per unit,Linear interpolation between 2030 and 2040,
central gas boiler,investment,50000.0,EUR/MW_th,Linear interpolation between 2030 and 2040,
central gas boiler,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
central ground-sourced heat pump,FOM,0.4040846153846154,%/year,Linear interpolation between 2030 and 2040,
central ground-sourced heat pump,VOM,1.29745,EUR/MWh_th,Linear interpolation between 2030 and 2040,
central ground-sourced heat pump,efficiency,1.7349999999999999,per unit,Linear interpolation between 2030 and 2040,
central ground-sourced heat pump,investment,494.91,EUR/kW_th excluding drive energy,Linear interpolation between 2030 and 2040,
central ground-sourced heat pump,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
central hydrogen CHP,FOM,5.0,%/year,Linear interpolation between 2030 and 2040,
central hydrogen CHP,c_b,1.25,50oC/100oC,Linear interpolation between 2030 and 2040,
central hydrogen CHP,efficiency,0.5,per unit,Linear interpolation between 2030 and 2040,
central hydrogen CHP,investment,1025.0,EUR/kW,Linear interpolation between 2030 and 2040,
central hydrogen CHP,lifetime,10.0,years,Linear interpolation between 2030 and 2040,
central resistive heater,FOM,1.65835,%/year,Linear interpolation between 2030 and 2040,
central resistive heater,VOM,1.0,EUR/MWh_th,Linear interpolation between 2030 and 2040,
central resistive heater,efficiency,0.99,per unit,Linear interpolation between 2030 and 2040,
central resistive heater,investment,60000.0,EUR/MW_th,Linear interpolation between 2030 and 2040,
central resistive heater,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
central solar thermal,FOM,1.4,%/year,Linear interpolation between 2030 and 2040,
central solar thermal,investment,140000.0,EUR/1000m2,Linear interpolation between 2030 and 2040,
central solar thermal,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
central solid biomass CHP,FOM,3.0,%/year,Linear interpolation between 2030 and 2040,
central solid biomass CHP,VOM,4.60515,EUR/MWh_e,Linear interpolation between 2030 and 2040,
central solid biomass CHP,c_b,0.34855,50°C/100°C,Linear interpolation between 2030 and 2040,
central solid biomass CHP,c_v,1.0,50°C/100°C,Linear interpolation between 2030 and 2040,
central solid biomass CHP,efficiency,0.2687,per unit,Linear interpolation between 2030 and 2040,
central solid biomass CHP,efficiency-heat,0.8257,per unit,Linear interpolation between 2030 and 2040,
central solid biomass CHP,investment,1000000.0,EUR/MW_e,Linear interpolation between 2030 and 2040,
central solid biomass CHP,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
central solid biomass CHP,p_nom_ratio,1.0,per unit,Linear interpolation between 2030 and 2040,
central solid biomass CHP CC,FOM,2.8627002372968344,%/year,Linear interpolation between 2030 and 2040,
central solid biomass CHP CC,VOM,4.60515,EUR/MWh_e,Linear interpolation between 2030 and 2040,
central solid biomass CHP CC,c_b,0.34855,50°C/100°C,Linear interpolation between 2030 and 2040,
central solid biomass CHP CC,c_v,1.0,50°C/100°C,Linear interpolation between 2030 and 2040,
central solid biomass CHP CC,efficiency,0.2687,per unit,Linear interpolation between 2030 and 2040,
central solid biomass CHP CC,efficiency-heat,0.8257,per unit,Linear interpolation between 2030 and 2040,
central solid biomass CHP CC,investment,4784.0082,EUR/kW_e,Linear interpolation between 2030 and 2040,
central solid biomass CHP CC,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
central solid biomass CHP powerboost CC,FOM,2.862651299885446,%/year,Linear interpolation between 2030 and 2040,
central solid biomass CHP powerboost CC,VOM,4.60515,EUR/MWh_e,Linear interpolation between 2030 and 2040,
central solid biomass CHP powerboost CC,c_b,0.34855,50°C/100°C,Linear interpolation between 2030 and 2040,
central solid biomass CHP powerboost CC,c_v,1.0,50°C/100°C,Linear interpolation between 2030 and 2040,
central solid biomass CHP powerboost CC,efficiency,0.2687,per unit,Linear interpolation between 2030 and 2040,
central solid biomass CHP powerboost CC,efficiency-heat,0.8257,per unit,Linear interpolation between 2030 and 2040,
central solid biomass CHP powerboost CC,investment,3301.10435,EUR/kW_e,Linear interpolation between 2030 and 2040,
central solid biomass CHP powerboost CC,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
central water tank storage,FOM,0.5714166095238096,%/year,Linear interpolation between 2030 and 2040,
central water tank storage,investment,787.5,EUR/MWhCapacity,Linear interpolation between 2030 and 2040,
central water tank storage,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
clean water tank storage,FOM,2.0,%/year,Linear interpolation between 2030 and 2040,
clean water tank storage,investment,67.626,EUR/m^3-H2O,Linear interpolation between 2030 and 2040,
clean water tank storage,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
coal,CO2 intensity,0.29,tCO2/MWh_th,Linear interpolation between 2030 and 2040,
coal,FOM,1.6,%/year,Linear interpolation between 2030 and 2040,
coal,VOM,3.5,EUR/MWh_e,Linear interpolation between 2030 and 2040,
coal,efficiency,0.33,per unit,Linear interpolation between 2030 and 2040,
coal,fuel,11.2,EUR/MWh_th,Linear interpolation between 2030 and 2040,
coal,investment,3845.5066,EUR/kW_e,Linear interpolation between 2030 and 2040,
coal,lifetime,40.0,years,Linear interpolation between 2030 and 2040,
csp-tower,FOM,1.1959681483667983,%/year,Linear interpolation between 2030 and 2040,
csp-tower,investment,94.34995,"EUR/kW_th,dp",Linear interpolation between 2030 and 2040,
csp-tower,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
csp-tower TES,FOM,1.195951168761299,%/year,Linear interpolation between 2030 and 2040,
csp-tower TES,investment,12.63945,EUR/kWh_th,Linear interpolation between 2030 and 2040,
csp-tower TES,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
csp-tower power block,FOM,1.1959691909484607,%/year,Linear interpolation between 2030 and 2040,
csp-tower power block,investment,660.9616,EUR/kW_e,Linear interpolation between 2030 and 2040,
csp-tower power block,lifetime,30.0,years,Linear interpolation between 2030 and 2040,
decentral CHP,FOM,3.0,%/year,Linear interpolation between 2030 and 2040,
decentral CHP,discount rate,0.04,per unit,Linear interpolation between 2030 and 2040,
decentral CHP,investment,1400.0,EUR/kWel,Linear interpolation between 2030 and 2040,
decentral CHP,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
decentral air-sourced heat pump,FOM,4.268917612326563,%/year,Linear interpolation between 2030 and 2040,
decentral air-sourced heat pump,discount rate,0.04,per unit,Linear interpolation between 2030 and 2040,
decentral air-sourced heat pump,efficiency,3.6500000000000004,per unit,Linear interpolation between 2030 and 2040,
decentral air-sourced heat pump,investment,1137300.0,EUR/MW_th,Linear interpolation between 2030 and 2040,
decentral air-sourced heat pump,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
decentral gas boiler,FOM,6.70093623711857,%/year,Linear interpolation between 2030 and 2040,
decentral gas boiler,discount rate,0.04,per unit,Linear interpolation between 2030 and 2040,
decentral gas boiler,efficiency,0.9824999999999999,per unit,Linear interpolation between 2030 and 2040,
decentral gas boiler,investment,289743.65,EUR/MW_th,Linear interpolation between 2030 and 2040,
decentral gas boiler,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
decentral gas boiler connection,investment,181.0898,EUR/kW_th,Linear interpolation between 2030 and 2040,
decentral gas boiler connection,lifetime,50.0,years,Linear interpolation between 2030 and 2040,
decentral ground-sourced heat pump,FOM,2.046525695729334,%/year,Linear interpolation between 2030 and 2040,
decentral ground-sourced heat pump,discount rate,0.04,per unit,Linear interpolation between 2030 and 2040,
decentral ground-sourced heat pump,efficiency,3.9375,per unit,Linear interpolation between 2030 and 2040,
decentral ground-sourced heat pump,investment,2500500.0,EUR/MW_th,Linear interpolation between 2030 and 2040,
decentral ground-sourced heat pump,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
decentral oil boiler,FOM,2.0,%/year,Linear interpolation between 2030 and 2040,
decentral oil boiler,efficiency,0.9,per unit,Linear interpolation between 2030 and 2040,
decentral oil boiler,investment,156014.1,EUR/MWth,Linear interpolation between 2030 and 2040,
decentral oil boiler,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
decentral resistive heater,FOM,2.0,%/year,Linear interpolation between 2030 and 2040,
decentral resistive heater,discount rate,0.04,per unit,Linear interpolation between 2030 and 2040,
decentral resistive heater,efficiency,0.9,per unit,Linear interpolation between 2030 and 2040,
decentral resistive heater,investment,100000.0,EUR/MWhth,Linear interpolation between 2030 and 2040,
decentral resistive heater,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
decentral solar thermal,FOM,1.3,%/year,Linear interpolation between 2030 and 2040,
decentral solar thermal,discount rate,0.04,per unit,Linear interpolation between 2030 and 2040,
decentral solar thermal,investment,270000.0,EUR/1000m2,Linear interpolation between 2030 and 2040,
decentral solar thermal,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
decentral water tank storage,FOM,1.0,%/year,Linear interpolation between 2030 and 2040,
decentral water tank storage,discount rate,0.04,per unit,Linear interpolation between 2030 and 2040,
decentral water tank storage,investment,18376.1,EUR/MWh,Linear interpolation between 2030 and 2040,
decentral water tank storage,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
digestible biomass,fuel,15.0,EUR/MWh_th,Linear interpolation between 2030 and 2040,
digestible biomass to hydrogen,FOM,4.25,%/year,Linear interpolation between 2030 and 2040,
digestible biomass to hydrogen,capture rate,0.9,per unit,Linear interpolation between 2030 and 2040,
digestible biomass to hydrogen,efficiency,0.39,per unit,Linear interpolation between 2030 and 2040,
digestible biomass to hydrogen,investment,3250.0,EUR/kW_th,Linear interpolation between 2030 and 2040,
direct air capture,FOM,5.000000000454545,%/year,Linear interpolation between 2030 and 2040,
direct air capture,compression-electricity-input,0.15,MWh/tCO2,Linear interpolation between 2030 and 2040,
direct air capture,compression-heat-output,0.2,MWh/tCO2,Linear interpolation between 2030 and 2040,
direct air capture,electricity-input,0.4,MWh_el/t_CO2,Linear interpolation between 2030 and 2040,
direct air capture,heat-input,1.6,MWh_th/t_CO2,Linear interpolation between 2030 and 2040,
direct air capture,heat-output,0.875,MWh/tCO2,Linear interpolation between 2030 and 2040,
direct air capture,investment,5500000.0,EUR/(tCO2/h),Linear interpolation between 2030 and 2040,
direct air capture,lifetime,20.0,years,Linear interpolation between 2030 and 2040,
direct firing gas,FOM,1.16665,%/year,Linear interpolation between 2030 and 2040,
direct firing gas,VOM,0.27875000000000005,EUR/MWh,Linear interpolation between 2030 and 2040,
direct firing gas,efficiency,1.0,per unit,Linear interpolation between 2030 and 2040,
direct firing gas,investment,15.0,EUR/kW,Linear interpolation between 2030 and 2040,
direct firing gas,lifetime,15.0,years,Linear interpolation between 2030 and 2040,
direct firing gas CC,FOM,1.16665,%/year,Linear interpolation between 2030 and 2040,
direct firing gas CC,VOM,0.27875000000000005,EUR/MWh,Linear interpolation between 2030 and 2040,
direct firing gas CC,efficiency,1.0,per unit,Linear interpolation between 2030 and 2040,
direct firing gas CC,investment,15.0,EUR/kW,Linear interpolation between 2030 and 2040,
direct firing gas CC,lifetime,15.0,years,Linear interpolation between 2030 and 2040,
direct firing solid fuels,FOM,1.47725,%/year,Linear interpolation between 2030 and 2040,
direct firing solid fuels,VOM,0.33155,EUR/MWh,Linear interpolation between 2030 and 2040,
direct firing solid fuels,efficiency,1.0,per unit,Linear interpolation between 2030 and 2040,
direct firing solid fuels,investment,220.0,EUR/kW,Linear interpolation between 2030 and 2040,
direct firing solid fuels,lifetime,15.0,years,Linear interpolation between 2030 and 2040,
direct firing solid fuels CC,FOM,1.47725,%/year,Linear interpolation between 2030 and 2040,
direct firing solid fuels CC,VOM,0.33155,EUR/MWh,Linear interpolation between 2030 and 2040,
direct firing solid fuels CC,efficiency,1.0,per unit,Linear interpolation between 2030 and 2040,
direct firing solid fuels CC,investment,220.0,EUR/kW,Linear interpolation between 2030 and 2040,
direct firing solid fuels CC,lifetime,15.0,years,Linear interpolation between 2030 and 2040,
direct iron reduction furnace,FOM,11.3,%/year,Linear interpolation between 2030 and 2040,
direct iron reduction furnace,electricity-input,1.03,MWh_el/t_hbi,Linear interpolation between 2030 and 2040,
direct iron reduction furnace,hydrogen-input,2.1,MWh_H2/t_hbi,Linear interpolation between 2030 and 2040,
direct iron reduction furnace,investment,3874587.791,EUR/t_HBI/h,Linear interpolation between 2030 and 2040,
direct iron reduction furnace,lifetime,40.0,years,Linear interpolation between 2030 and 2040,
direct iron reduction furnace,ore-input,1.59,t_ore/t_hbi,Linear interpolation between 2030 and 2040,
dry bulk carrier Capesize,FOM,4.0,%/year,Linear interpolation between 2030 and 2040,
dry bulk carrier Capesize,capacity,180000.0,t,Linear interpolation between 2030 and 2040,
dry bulk carrier Capesize,investment,36229232.39,EUR,Linear interpolation between 2030 and 2040,
dry bulk carrier Capesize,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
electric arc furnace,FOM,29.999999999999996,%/year,Linear interpolation between 2030 and 2040,
electric arc furnace,electricity-input,0.6395,MWh_el/t_steel,Linear interpolation between 2030 and 2040,
electric arc furnace,hbi-input,1.0,t_hbi/t_steel,Linear interpolation between 2030 and 2040,
electric arc furnace,investment,1666182.398,EUR/t_steel/h,Linear interpolation between 2030 and 2040,
electric arc furnace,lifetime,40.0,years,Linear interpolation between 2030 and 2040,
electric boiler steam,FOM,1.4213999999999998,%/year,Linear interpolation between 2030 and 2040,
electric boiler steam,VOM,0.8275,EUR/MWh,Linear interpolation between 2030 and 2040,
electric boiler steam,efficiency,0.99,per unit,Linear interpolation between 2030 and 2040,
electric boiler steam,investment,70.0,EUR/kW,Linear interpolation between 2030 and 2040,
electric boiler steam,lifetime,25.0,years,Linear interpolation between 2030 and 2040,
electric steam cracker,FOM,3.0,%/year,Linear interpolation between 2030 and 2040,
